date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:11	14817/14817	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2012:09:40%20GMT	https://herfybd.com/assets/image/burger_illustration_2.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/burger_illustration_2.png	(from https://herfybd.com/)
22:20:12	10648/10648	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Dec%202018%2007:03:41%20GMT	https://herfybd.com/assets/image/burger_illustration_3.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/burger_illustration_3.png	(from https://herfybd.com/)
22:20:12	22430/22430	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Dec%202018%2007:03:49%20GMT	https://herfybd.com/assets/image/french_fries_icon.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/french_fries_icon.png	(from https://herfybd.com/)
22:20:12	60859/60859	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:12%20GMT	https://herfybd.com/menu/icecream.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/icecream.html	(from https://herfybd.com/)
22:20:12	13519/13519	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Dec%202018%2007:03:45%20GMT	https://herfybd.com/assets/image/burger_illustration_4.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/burger_illustration_4.png	(from https://herfybd.com/)
22:20:13	90004/90004	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:12%20GMT	https://herfybd.com/item/1	C:/My%20Web%20Sites/naya/herfybd.com/item/1.html	(from https://herfybd.com/)
22:20:13	88119/88119	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:13%20GMT	https://herfybd.com/item/6	C:/My%20Web%20Sites/naya/herfybd.com/item/6.html	(from https://herfybd.com/)
22:20:13	30034/30034	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:33:04%20GMT	https://herfybd.com/assets/image/small/combo_big_herfy.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/combo_big_herfy.png	(from https://herfybd.com/)
22:20:13	27882/27882	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:34:24%20GMT	https://herfybd.com/assets/image/small/combo_chicken_cheese.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/combo_chicken_cheese.png	(from https://herfybd.com/)
22:20:14	88135/88135	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:13%20GMT	https://herfybd.com/item/11	C:/My%20Web%20Sites/naya/herfybd.com/item/11.html	(from https://herfybd.com/)
22:20:14	29825/29825	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:37:26%20GMT	https://herfybd.com/assets/image/small/combo_grilled_chicken.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/small/combo_grilled_chicken.png	(from https://herfybd.com/)
